"Feature","Gain","Cover","Frequency"
"f26",3.02805169181157e-05,8.82911244874578e-05,0.000103247121986475
"f103",2.97489745131446e-05,0.00112806460935133,0.000309741365959424
"f153",2.85471141602192e-05,0.00102777945016163,0.000206494243972949
"f312",2.80815447797933e-05,0.000173449403370705,0.000258117804966187
"f194",2.71905399400345e-05,0.00053104030213739,0.000671106292912085
"f268",2.59029873214695e-05,0.000740202566117097,0.000309741365959424
"f288",2.35955863231262e-05,0.000750259509058021,0.000309741365959424
"f188",2.33437097060958e-05,0.000515219069426955,0.000412988487945899
"f109",2.29267486665539e-05,5.4648739893907e-05,0.000258117804966187
"f338",2.25316002811345e-05,0.00167764183622042,0.000722729853905322
"f377",2.16460198648293e-05,0.000250539609425559,0.00056785917092561
"f363",2.09930396345379e-05,0.000111096119459416,0.000206494243972949
"f386",2.01361439441401e-05,1.00293620314431e-05,0.000103247121986475
"f255",1.93823108800956e-05,0.000248728859984032,0.000206494243972949
"f164",1.90546001987097e-05,1.30352686666113e-05,5.16235609932373e-05
"f69",1.90542680911513e-05,9.09127570873459e-05,0.000309741365959424
"f208",1.89863989311446e-05,0.000186153956479603,0.000361364926952661
"f196",1.86834103931748e-05,6.9236563564462e-05,0.000154870682979712
"f331",1.85234338984521e-05,0.00015883009233407,0.000877600536885034
"f365",1.82922458791929e-05,0.000213252164442021,0.000309741365959424
"f206",1.79299406604761e-05,7.30289251136735e-05,0.000103247121986475
"f124",1.78646105621016e-05,0.000159966957141707,0.000154870682979712
"f266",1.65855763604826e-05,0.0001446303705843,5.16235609932373e-05
"f190",1.52365299116211e-05,6.43863649964987e-05,0.000103247121986475
"f285",1.49671268149395e-05,0.000791299863079994,0.000464612048939136
"f349",1.47083923187549e-05,0.000420205127103861,0.000361364926952661
"f360",1.35730201828691e-05,5.75420271419873e-05,0.000206494243972949
"f264",1.33824245066745e-05,5.81180072815617e-05,0.000103247121986475
"f86",1.32623647857952e-05,0.000312122218936045,0.000258117804966187
"f78",1.28943598065894e-05,0.000117389477514453,0.000258117804966187
"f283",1.28029677804607e-05,9.89949039630241e-05,5.16235609932373e-05
"f217",1.24119139689983e-05,0.000322403423423158,0.000206494243972949
"f94",1.16906742813559e-05,2.3134605623657e-05,5.16235609932373e-05
"f96",1.14132736372749e-05,6.32582510445001e-06,5.16235609932373e-05
"f126",1.13350949503278e-05,0.000168974917044079,0.000825976975891797
"f243",1.09848733373889e-05,0.000379971266080349,0.000154870682979712
"f385",1.09072077140416e-05,0.000492978264019717,0.000361364926952661
"f131",1.06771849097628e-05,8.16470987274241e-05,0.000464612048939136
"f272",1.05867203720504e-05,3.1884962827001e-05,0.000258117804966187
"f62",9.10095418276261e-06,0.00042029324458623,0.000258117804966187
"f241",9.06759653319719e-06,0.000676543401152731,0.000258117804966187
"f335",8.55636094423143e-06,0.000173258809538466,0.000258117804966187
"f325",8.47790550098568e-06,0.000672726260244623,0.000154870682979712
"f142",8.38952231256538e-06,1.81425739535695e-05,0.000103247121986475
"f261",7.83051219976929e-06,5.1644304011412e-05,0.000103247121986475
"f110",7.52992860307158e-06,5.88814531416794e-05,5.16235609932373e-05
"f177",6.54350954564384e-06,1.29497133385239e-05,5.16235609932373e-05
"f135",6.09988977822682e-06,0.000150596057711531,0.000464612048939136
"f228",5.7705551050731e-06,0.000156722648618704,0.000309741365959424
"f72",5.67649025176788e-06,9.68262828292822e-05,0.000154870682979712
"f195",5.6169518111662e-06,3.08936976233257e-05,0.000206494243972949
"f127",5.35014490145532e-06,3.30185350147137e-05,5.16235609932373e-05
"f198",5.22524975129656e-06,0.000404759896365673,5.16235609932373e-05
"f201",5.06548046898211e-06,1.46699869371764e-05,5.16235609932373e-05
